rank,name,year,certification,duration,rating,review_count,director,writer,genre,stars
36,Left Behind,2014,PG-13,1.5,3.1,42,['Vic Armstrong'],"['Writers', 'Paul Lalonde', 'John Patus', 'Tim LaHaye', '']","['Action', 'Fantasy', 'Sci-Fi']","['Nicolas Cage', 'Lea Thompson', 'Cassi Thomson']"
37,The Cost of Deception,2021,,0.0,1.5,40,['Keith English'],"['Writer', 'Balázs Bendi', '']","['Action', 'Crime', 'Drama']","['Vivianne Bánovits', 'András Mózes', 'Barna Bokor']"
38,365 Days,2020,TV-MA,1.54,3.3,96,"['Barbara Bialowas', 'Tomasz Mandes']","['Writers', 'Tomasz Klimala', 'Tomasz Mandes', 'Barbara Bialowas', '']","['Drama', 'Romance']","['Anna-Maria Sieklucka', 'Michele Morrone', 'Bronislaw Wroclawski']"
39,Enes Batur: Imagination or Reality?,2018,,0.0,2.0,56,['Kamil Cetin'],"['Enes Batur', 'Busra Nur Karahan', 'Enver Sülük']",['Comedy'],"['Enes Batur', 'Bilal Hanci', 'Atakan Özyurt']"
40,Who's Your Caddy?,2007,PG-13,1.33,2.2,15,['Don Michael Paul'],"['Don Michael Paul', 'Bradley Allenstein', 'Robert Henny']","['Comedy', 'Sport']","['Big Boi', 'Jeffrey Jones', 'Terry Crews']"
41,Jack and Jill,2011,PG,1.31,3.3,89,['Dennis Dugan'],"['Writers', 'Ben Zook', 'Steve Koren', 'Adam Sandler', '']",['Comedy'],"['Adam Sandler', 'Katie Holmes', 'Al Pacino']"
42,Rollerball,2002,PG-13,1.38,3.1,29,['John McTiernan'],"['Writers', 'William Harrison', 'Larry Ferguson', 'John Pogue', '']","['Action', 'Sci-Fi', 'Sport']","['Chris Klein', 'Jean Reno', 'LL Cool J']"
43,Santa Claus Conquers the Martians,1964,Not Rated,1.21,2.7,12,['Nicholas Webster'],"['Glenville Mareth', 'Paul L. Jacobson']","['Adventure', 'Comedy', 'Family']","['John Call', 'Leonard Hicks', 'Vincent Beck']"
44,Adipurush,2023,,0.0,3.4,131,['Om Raut'],"['Writers', 'Manoj Muntashir', 'Om Raut', '']","['Action', 'Adventure', 'Drama']","['Kriti Sanon', 'Saif Ali Khan', 'Prabhas']"
45,Winnie the Pooh: Blood and Honey,2023,Not Rated,1.24,2.9,24,['Rhys Frake-Waterfield'],"['Rhys Frake-Waterfield', 'A.A. Milne']",['Horror'],"['Nikolai Leon', 'Maria Taylor', 'Natasha Rose Mills']"
46,Slender Man,2018,PG-13,1.33,3.2,37,['Sylvain White'],"['David Birke', 'Victor Surge']","['Horror', 'Mystery', 'Thriller']","['Joey King', 'Julia Goldani Telles', 'Jaz Sinclair']"
47,Catwoman,2004,PG-13,1.44,3.4,124,['Pitof'],"['Writers', 'Bob Kane', 'Theresa Rebeck', 'John Brancato', '']","['Action', 'Crime', 'Fantasy']","['Halle Berry', 'Sharon Stone', 'Benjamin Bratt']"
48,Kazaam,1996,PG,1.33,3.1,25,['Paul Michael Glaser'],"['Paul Michael Glaser', 'Christian Ford', 'Roger Soffer']","['Comedy', 'Family', 'Fantasy']","[""Shaquille O'Neal"", 'Francis Capra', 'Ally Walker']"
49,Student of the Year 2,2019,Not Rated,2.26,2.2,22,['Punit Malhotra'],"['Arshad Syed', 'Karan Johar']","['Action', 'Comedy', 'Drama']","['Tiger Shroff', 'Ananya Panday', 'Tara Sutaria']"
50,The Emoji Movie,2017,PG,1.26,3.4,69,['Tony Leondis'],"['Writers', 'Tony Leondis', 'Eric Siegel', 'Mike White', '']","['Animation', 'Adventure', 'Comedy']","['T.J. Miller', 'James Corden', 'Anna Faris']"
51,Vampires Suck,2010,PG-13,1.22,3.4,51,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Comedy', 'Horror']","['Jenn Proske', 'Matt Lanter', 'Diedrich Bader']"
52,Steel,1997,PG-13,1.37,3.0,15,['Kenneth Johnson'],"['Louise Simonson', 'Jon Bogdanove', 'Kenneth Johnson']","['Action', 'Adventure', 'Crime']","[""Shaquille O'Neal"", 'Annabeth Gish', 'Judd Nelson']"
53,The Open House,2018,TV-MA,1.34,3.3,36,"['Matt Angel', 'Suzanne Coote']","['Matt Angel', 'Suzanne Coote']","['Horror', 'Thriller']","['Dylan Minnette', 'Piercey Dalton', 'Patricia Bethune']"
54,The Starving Games,2013,PG-13,1.23,3.2,22,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Adventure', 'Comedy', 'Sci-Fi']","['Maiara Walsh', 'Brant Daugherty', 'Cody Christian']"
55,Laxmii,2020,TV-MA,2.21,2.5,58,"['Raghava Lawrence', 'Balakrishnan Thevar']","['Writers', 'Farhad Samji', 'Raghava Lawrence', 'Sparsh Khetarpal', '']","['Action', 'Comedy', 'Horror']","['Akshay Kumar', 'Kiara Advani', 'Sharad Kelkar']"
56,Breach,2020,R,1.32,2.9,19,['John Suits'],"['Edward Drake', 'Corey Large']","['Action', 'Horror', 'Sci-Fi']","['Cody Kearsley', 'Bruce Willis', 'Rachel Nichols']"
57,Tees Maar Khan,2010,Not Rated,2.15,2.6,14,['Farah Khan'],"['Writers', 'Vishal Dadlani', 'Anvita Dutt', 'Ashmith Kunder', '']","['Comedy', 'Crime']","['Akshay Kumar', 'Katrina Kaif', 'Akshaye Khanna']"
58,Scary Movie V,2013,PG-13,1.26,3.5,76,"['Malcolm D. Lee', 'David Zucker']","['Writers', 'David Zucker', 'Pat Proft', 'Shawn Wayans', '']","['Comedy', 'Horror']","['Simon Rex', 'Ashley Tisdale', 'Charlie Sheen']"
59,Dumb and Dumberer: When Harry Met Lloyd,2003,PG-13,1.25,3.4,42,['Troy Miller'],"['Writers', 'Peter Farrelly', 'Bennett Yellin', 'Bobby Farrelly', '']",['Comedy'],"['Derek Richardson', 'Eric Christian Olsen', 'Eugene Levy']"
60,Texas Chainsaw Massacre: The Next Generation,1994,R,1.27,3.3,25,['Kim Henkel'],"['Writers', 'Kim Henkel', 'Tobe Hooper', '']","['Comedy', 'Horror', 'Thriller']","['Renée Zellweger', 'Matthew McConaughey', 'Robert Jacks']"
61,Gunday,2014,Not Rated,2.32,2.7,60,['Ali Abbas Zafar'],"['Ali Abbas Zafar', 'Sanjay Masoomm']","['Action', 'Drama', 'Musical']","['Ranveer Singh', 'Arjun Kapoor', 'Priyanka Chopra Jonas']"
62,The Room,2003,R,1.39,3.6,94,['Tommy Wiseau'],['Tommy Wiseau'],['Drama'],"['Tommy Wiseau', 'Juliette Danielle', 'Greg Sestero']"
63,The Master of Disguise,2002,PG,1.2,3.3,27,['Perry Andelin Blake'],"['Dana Carvey', 'Harris Goldberg']","['Adventure', 'Comedy', 'Family']","['Dana Carvey', 'Jennifer Esposito', 'Harold Gould']"
64,Police Academy: Mission to Moscow,1994,PG,1.23,3.5,36,['Alan Metter'],"['Writers', 'Neal Israel', 'Pat Proft', 'Randolph Davis', '']","['Comedy', 'Crime']","['G.W. Bailey', 'George Gaynes', 'Michael Winslow']"
